Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801903021;Total;1.130
Ambos Sexos;0801903022;Total;1.437
Ambos Sexos;0801903023;Total;1.923
Ambos Sexos;0801903024;Total;2.061
Ambos Sexos;0801903025;Total;1.226
Ambos Sexos;0801903026;Total;1.036
Ambos Sexos;0801903027;Total;1.753
Ambos Sexos;0801903028;Total;2.662
Ambos Sexos;0801903029;Total;1.314
Ambos Sexos;0801903030;Total;1.599
Ambos Sexos;0801903031;Total;2.443
Ambos Sexos;0801903032;Total;1.717
Ambos Sexos;0801903033;Total;1.488
Ambos Sexos;0801903034;Total;1.543
Ambos Sexos;0801903035;Total;2.300
Ambos Sexos;0801903036;Total;2.424
Ambos Sexos;0801903037;Total;1.054
Ambos Sexos;0801903038;Total;963
Ambos Sexos;0801903039;Total;2.565
Ambos Sexos;0801903040;Total;1.482
Ambos Sexos;0801903041;Total;1.423
Ambos Sexos;0801903042;Total;1.400
Ambos Sexos;0801903043;Total;1.673
Ambos Sexos;0801903044;Total;1.871
Ambos Sexos;0801903045;Total;1.087
Ambos Sexos;0801903046;Total;1.418
Ambos Sexos;0801903047;Total;1.832
Ambos Sexos;0801903048;Total;1.361
Ambos Sexos;0801903049;Total;1.669
Ambos Sexos;0801903050;Total;1.653
Ambos Sexos;0801903051;Total;1.945
Ambos Sexos;0801903052;Total;1.312
Ambos Sexos;0801903053;Total;2.201
Ambos Sexos;0801903054;Total;1.731
Ambos Sexos;0801903055;Total;1.582
Ambos Sexos;0801903056;Total;902
Ambos Sexos;0801903057;Total;1.507
Ambos Sexos;0801903058;Total;1.743
Ambos Sexos;0801903059;Total;1.222
Ambos Sexos;0801903060;Total;1.402
Ambos Sexos;0801903061;Total;1.149
Ambos Sexos;0801903062;Total;1.580
Ambos Sexos;0801903063;Total;1.907
Ambos Sexos;0801903064;Total;1.220
Ambos Sexos;0801903065;Total;1.356
Ambos Sexos;0801903066;Total;2.332
